series,group,q,h_q,tau_q
AAPL,real_deseasonalized,-4.0,0.551673007451774,-3.206692029807096
AAPL,real_deseasonalized,-3.0,0.5466166397933366,-2.63984991938001
AAPL,real_deseasonalized,-2.0,0.5426729947137546,-2.085345989427509
AAPL,real_deseasonalized,-1.0,0.5404181912171773,-1.5404181912171773
AAPL,real_deseasonalized,0.0,0.5402828581940217,-1.0
AAPL,real_deseasonalized,1.0,0.5418627582677888,-0.45813724173221115
AAPL,real_deseasonalized,2.0,0.5433280247263569,0.08665604945271377
AAPL,real_deseasonalized,3.0,0.5422829467985245,0.6268488403955734
AAPL,real_deseasonalized,4.0,0.5375325186747625,1.15013007469905
MSFT,real_deseasonalized,-4.0,0.5428360608767717,-3.171344243507087
MSFT,real_deseasonalized,-3.0,0.5366235790130707,-2.609870737039212
MSFT,real_deseasonalized,-2.0,0.5302727633347544,-2.0605455266695087
MSFT,real_deseasonalized,-1.0,0.5234942455059541,-1.5234942455059541
MSFT,real_deseasonalized,0.0,0.516037908234559,-1.0
MSFT,real_deseasonalized,1.0,0.5078184457397228,-0.4921815542602772
MSFT,real_deseasonalized,2.0,0.49896279808461264,-0.0020744038307747292
MSFT,real_deseasonalized,3.0,0.48975608467526466,0.469268254025794
MSFT,real_deseasonalized,4.0,0.4805404400024261,0.9221617600097043
QQQ,real_deseasonalized,-4.0,0.5485786634110763,-3.1943146536443052
QQQ,real_deseasonalized,-3.0,0.5376784434276095,-2.6130353302828286
QQQ,real_deseasonalized,-2.0,0.529299450433431,-2.058598900866862
QQQ,real_deseasonalized,-1.0,0.5257260488329668,-1.5257260488329667
QQQ,real_deseasonalized,0.0,0.5284971649753254,-1.0
QQQ,real_deseasonalized,1.0,0.5348146784424022,-0.46518532155759784
QQQ,real_deseasonalized,2.0,0.5363084393192279,0.07261687863845578
QQQ,real_deseasonalized,3.0,0.5268464292998604,0.580539287899581
QQQ,real_deseasonalized,4.0,0.5086548761468469,1.0346195045873876
SPY,real_deseasonalized,-4.0,0.5980172732873299,-3.3920690931493196
SPY,real_deseasonalized,-3.0,0.5811721201943205,-2.7435163605829613
SPY,real_deseasonalized,-2.0,0.5665793604715562,-2.133158720943112
SPY,real_deseasonalized,-1.0,0.5555119414474718,-1.5555119414474718
SPY,real_deseasonalized,0.0,0.548074004974253,-1.0
SPY,real_deseasonalized,1.0,0.5423553047384624,-0.4576446952615376
SPY,real_deseasonalized,2.0,0.5347215936612284,0.0694431873224568
SPY,real_deseasonalized,3.0,0.5227128926618241,0.5681386779854722
SPY,real_deseasonalized,4.0,0.5073850032141771,1.0295400128567085
fGn H=0.3 MC mean,model_mc_mean,-4.0,0.31868020548480996,-2.2747208219392405
fGn H=0.3 MC mean,model_mc_mean,-3.0,0.3155502141932345,-1.9466506425797039
fGn H=0.3 MC mean,model_mc_mean,-2.0,0.31270514867712157,-1.6254102973542432
fGn H=0.3 MC mean,model_mc_mean,-1.0,0.3101183789219666,-1.3101183789219664
fGn H=0.3 MC mean,model_mc_mean,0.0,0.3077416028249587,-1.0
fGn H=0.3 MC mean,model_mc_mean,1.0,0.30550345634126425,-0.6944965436587357
fGn H=0.3 MC mean,model_mc_mean,2.0,0.3033092517367506,-0.39338149652649895
fGn H=0.3 MC mean,model_mc_mean,3.0,0.30104794708569543,-0.09685615874291369
fGn H=0.3 MC mean,model_mc_mean,4.0,0.2986117985418744,0.19444719416749767
fGn H=0.5 MC mean,model_mc_mean,-4.0,0.5137615632774785,-3.055046253109913
fGn H=0.5 MC mean,model_mc_mean,-3.0,0.510332097308722,-2.530996291926166
fGn H=0.5 MC mean,model_mc_mean,-2.0,0.5074380493388766,-2.014876098677753
fGn H=0.5 MC mean,model_mc_mean,-1.0,0.5049665311196655,-1.5049665311196656
fGn H=0.5 MC mean,model_mc_mean,0.0,0.5027430696818406,-1.0
fGn H=0.5 MC mean,model_mc_mean,1.0,0.5005528592001174,-0.4994471407998826
fGn H=0.5 MC mean,model_mc_mean,2.0,0.4981627015403591,-0.0036745969192819826
fGn H=0.5 MC mean,model_mc_mean,3.0,0.49534757219821074,0.4860427165946322
fGn H=0.5 MC mean,model_mc_mean,4.0,0.49195603511427516,0.9678241404570999
fGn H=0.7 MC mean,model_mc_mean,-4.0,0.7244613051031447,-3.8978452204125786
fGn H=0.7 MC mean,model_mc_mean,-3.0,0.7188048225327727,-3.1564144675983177
fGn H=0.7 MC mean,model_mc_mean,-2.0,0.7139767642077137,-2.4279535284154274
fGn H=0.7 MC mean,model_mc_mean,-1.0,0.7098150597497401,-1.7098150597497406
fGn H=0.7 MC mean,model_mc_mean,0.0,0.7059601125746191,-1.0
fGn H=0.7 MC mean,model_mc_mean,1.0,0.7019643206536331,-0.2980356793463668
fGn H=0.7 MC mean,model_mc_mean,2.0,0.6974308183606314,0.3948616367212637
fGn H=0.7 MC mean,model_mc_mean,3.0,0.6921216864827119,1.0763650594481353
fGn H=0.7 MC mean,model_mc_mean,4.0,0.6860384902386059,1.7441539609544237
