series,group,alpha,f_alpha
AAPL,real_deseasonalized,0.566842110427086,0.9393235880987518
AAPL,real_deseasonalized,0.5606730201897934,0.9578308588106297
AAPL,real_deseasonalized,0.5497158640814163,0.9859142612646765
AAPL,real_deseasonalized,0.5426729947137545,0.9977451965034227
AAPL,real_deseasonalized,0.5411404747424831,1.0
AAPL,real_deseasonalized,0.5433280247263569,1.0014652664585681
AAPL,real_deseasonalized,0.5424930410638923,0.9983300326750708
AAPL,real_deseasonalized,0.5317370126231681,0.9683621974739309
AAPL,real_deseasonalized,0.5232812343034765,0.9429948625148561
MSFT,real_deseasonalized,0.5614735064678751,0.9254502176355865
MSFT,real_deseasonalized,0.5553993584187891,0.9436726617828446
MSFT,real_deseasonalized,0.5431882457666288,0.9741690351362511
MSFT,real_deseasonalized,0.5302727633347544,0.9932214821711998
MSFT,real_deseasonalized,0.5156563456228385,1.0
MSFT,real_deseasonalized,0.49896279808461264,0.9911443523448898
MSFT,real_deseasonalized,0.4807249041430356,0.9635242121168459
MSFT,real_deseasonalized,0.4621180819202395,0.9170859917349246
MSFT,real_deseasonalized,0.4528935059839103,0.889412263925937
QQQ,real_deseasonalized,0.5812793233614766,0.8691973601983989
QQQ,real_deseasonalized,0.5678578763887216,0.9094617011166637
QQQ,real_deseasonalized,0.543654640724931,0.971289619417
QQQ,real_deseasonalized,0.529299450433431,0.9964265983995357
QQQ,real_deseasonalized,0.5302703636376844,1.0
QQQ,real_deseasonalized,0.5363084393192279,1.0014937608768257
QQQ,real_deseasonalized,0.5228623047285894,0.973107730818723
QQQ,real_deseasonalized,0.4810013129744659,0.8624646510238168
QQQ,real_deseasonalized,0.4540802166878066,0.7817013621638389
SPY,real_deseasonalized,0.6485527325663583,0.7978581628838866
SPY,real_deseasonalized,0.6294551861031037,0.8551508022736503
SPY,real_deseasonalized,0.5940022095677447,0.9451543018076227
SPY,real_deseasonalized,0.5665793604715561,0.9889325809759157
SPY,real_deseasonalized,0.5489336230929671,1.0
SPY,real_deseasonalized,0.5347215936612284,0.992366288922766
SPY,real_deseasonalized,0.5128916866235049,0.956340185924553
SPY,real_deseasonalized,0.48004841276712584,0.8720065603159053
SPY,real_deseasonalized,0.46140133487123625,0.8160653266282365
fGn H=0.3 MC mean,model_mc_mean,0.3280701793595366,0.9624401045010935
fGn H=0.3 MC mean,model_mc_mean,0.3246552622924985,0.9726848557022083
fGn H=0.3 MC mean,model_mc_mean,0.3182661318288684,0.9888780336965063
fGn H=0.3 MC mean,model_mc_mean,0.31270514867712157,0.9974132302448453
fGn H=0.3 MC mean,model_mc_mean,0.3078109176316155,1.0
fGn H=0.3 MC mean,model_mc_mean,0.3033092517367506,0.9978057953954864
fGn H=0.3 MC mean,model_mc_mean,0.2988201924579111,0.9910218814423212
fGn H=0.3 MC mean,model_mc_mean,0.2939143453469982,0.9785991947839088
fGn H=0.3 MC mean,model_mc_mean,0.2913033529104114,0.9707662174741475
fGn H=0.5 MC mean,model_mc_mean,0.5240499611837476,0.9588464083749233
fGn H=0.5 MC mean,model_mc_mean,0.5200850772160802,0.9707410602779255
fGn H=0.5 MC mean,model_mc_mean,0.5130148804032504,0.9888463378712524
fGn H=0.5 MC mean,model_mc_mean,0.5074380493388765,0.997528481780789
fGn H=0.5 MC mean,model_mc_mean,0.5027596951598917,1.0
fGn H=0.5 MC mean,model_mc_mean,0.4981627015403591,0.9976098423402417
fGn H=0.5 MC mean,model_mc_mean,0.4927449286972574,0.9891644543137967
fGn H=0.5 MC mean,model_mc_mean,0.48574936868819113,0.9712053894699412
fGn H=0.5 MC mean,model_mc_mean,0.4817814238624678,0.959301554992771
fGn H=0.7 MC mean,model_mc_mean,0.7414307528142606,0.932122209155537
fGn H=0.7 MC mean,model_mc_mean,0.7349458459985755,0.9515769296025915
fGn H=0.7 MC mean,model_mc_mean,0.7232997039242888,0.9813541205668499
fGn H=0.7 MC mean,model_mc_mean,0.7139767642077137,0.9958382955420266
fGn H=0.7 MC mean,model_mc_mean,0.7058896902016865,1.0
fGn H=0.7 MC mean,model_mc_mean,0.6974308183606314,0.9954664977069985
fGn H=0.7 MC mean,model_mc_mean,0.6872003693972509,0.9795391020732385
fGn H=0.7 MC mean,model_mc_mean,0.6746461621165801,0.9475734269016047
fGn H=0.7 MC mean,model_mc_mean,0.6677889015062886,0.92700164507073
